brewery_id,name,type,abv,ibu,rating,rating_count
28,Salutation Ale,Golden Ale,5.6,28.0,3.55,214
28,Honey Roast,Brown Ale - Other,6.2,32.0,3.53,128
28,Zaydorf,Dark Ale,6.2,32.0,3.59,114
29,Electric Jellyfish,IPA - New England,6.5,,4.1,21121
29,Training Bines,IPA - American,7.2,,4.06,4298
29,Man O' War,IPA - American,6.5,,3.86,4191
29,Bearded Seal,Stout - Irish Dry,6.1,,3.76,2752
29,Fully Adrift,IPA - Imperial / Double,10.5,,4.16,2272
30,Carl,Kölsch,4.6,27.0,3.59,3431
30,Slater,IPA - American,6.8,50.0,3.78,1535
30,Chico,Pale Ale - American,5.3,30.0,3.6,1430
30,Angus,Stout - Irish Dry,5.1,25.0,3.63,1375
30,Jan,IPA - International,7.0,45.0,3.64,969
31,Thirsty Goat Amber,Red Ale - American Amber / Red,6.8,30.0,3.61,26343
31,Buckethead IPA,IPA - American,8.9,81.0,3.63,14948
31,Yellow Armadillo Wheat,Wheat Beer - American Pale Wheat,4.0,18.0,3.35,3037
31,Silverback Pale Ale,Pale Ale - American,5.5,,3.55,1504
31,Smittlefest,Märzen,7.0,18.0,3.68,1503
32,Calcifer,IPA - New England,6.66,,4.33,134
32,Low-key Loki,IPA - New England,7.0,,4.03,139
32,Sjöfn,Farmhouse Ale - Saison,5.5,,4.07,117
32,Dreamland,IPA - Milkshake,4.3,,3.79,115
32,Get Naked,IPA - New England,8.2,,4.03,121
33,Spirit Animal,Sour - Other,5.1,35.0,3.73,12018
33,Professor Black,Sour - Other,6.1,40.0,3.73,10867
33,Little Boss,Sour - Other,3.8,7.0,3.61,8591
33,Van Dayum!,Sour - Other,5.7,32.0,3.65,8154
33,Dapper Devil,Sour - Other,9.0,30.0,3.86,4554
34,Mosaic IPA,IPA - American,6.0,50.0,3.72,222
34,Pale Ale,Pale Ale - American,5.5,25.0,3.6,152
34,Czech Pilsner,Pilsner - Czech,5.5,50.0,3.47,125
34,Citra Pale Ale,Pale Ale - American,5.5,,3.64,110
34,American Lager,Lager - American,5.2,,3.57,97
35,Noisy Cricket,IPA - Session / India Session Ale,4.7,,3.6,6414
35,Fresh Coast IPA,IPA - American,7.5,,3.7,4224
35,Springdale,Wheat Beer - Witbier,6.0,,3.59,1996
35,Urban Chicken,Farmhouse Ale - Saison,4.9,29.0,3.48,1611
35,Govalle,IPA - American,6.8,,3.67,1036
36,Violet the Blueberry Blonde,Fruit Beer,5.1,15.0,3.71,2636
36,Wooderson the Ageless Outlaw IPA,IPA - American,6.5,38.0,3.65,2460
36,Shamus The Fiddler Irish Red,Red Ale - Irish,5.2,23.0,3.6,2114
36,Hi-C IPA,IPA - New England,6.9,,3.83,1599
36,Christie The American Blonde,Blonde Ale,5.6,,3.56,1052
37,The One They Call Zoe,Lager - Pale,5.2,18.0,3.65,16536
37,A Pale Mosaic,IPA - American,5.93,60.0,3.85,13675
37,Greenhouse IPA,IPA - American,7.6,71.0,3.77,8498
37,Porter Culture,Porter - Baltic,6.6,35.0,3.79,7174
37,Haze County,IPA - Imperial / Double,8.2,65.0,3.85,7026
38,40 Days & 40 Nights,IPA - American,7.5,,3.83,4910
38,Double Predestination,IPA - Imperial / Double,8.3,,3.83,3093
38,Amandus,Belgian Strong Golden Ale,8.2,,3.81,2320
38,Despereaux,Farmhouse Ale - Saison,6.1,,3.58,2139
38,Achilles Heel,Stout - Irish Dry,4.4,,3.54,1791
39,HefeWeizen,Hefeweizen,5.2,12.0,3.83,39165
39,Pilz,Pilsner - Czech,4.7,36.0,3.58,10262
39,Big Bark Amber Lager,Lager - Vienna,4.9,25.0,3.59,11533
39,Primus,Bock - Weizendoppelbock,8.0,10.0,3.86,8489
39,Oaktoberfest,Festbier,5.8,20.0,3.68,6412
